[22:16:52] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:16:53] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:16:53] [ServerMain/INFO]: Reloading ResourceManager: Default
[22:16:55] [Worker-Main-2/INFO]: Loaded 7 recipes
[22:16:55] [Worker-Main-2/INFO]: Loaded 1141 advancements
[22:16:59] [Server thread/INFO]: Starting minecraft server version 1.18.1
[22:16:59] [Server thread/INFO]: Loading properties
[22:16:59] [Server thread/INFO]: Default game type: SURVIVAL
[22:16:59] [Server thread/INFO]: Generating keypair
[22:16:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:16:59] [Server thread/INFO]: Using epoll channel type
[22:17:00] [Server thread/INFO]: Preparing level "world"
[22:17:15] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:17:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
